G,R,AB,H,2B,3B,HR,BB,SO,SB,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,mlb_rpg,era_1,era_2,era_3,era_4,era_5,era_6,era_7,era_8,decade_1910,decade_1920,decade_1930,decade_1940,decade_1950,decade_1960,decade_1970,decade_1980,decade_1990,decade_2000,decade_2010,ID
162,683,5423,1342,216,47,90,580,772.0,58,863,745,4.74,32,5,23,4245,1519,141,629,703,174,160.0,0.972,4.525174825174825,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1547
161,739,5483,1386,266,39,154,589,1154.0,153,713,621,3.85,22,11,39,4353,1473,130,553,874,137,157.0,0.978,4.409177365668093,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1677
159,730,5555,1496,231,36,120,470,616.0,163,575,516,3.19,62,15,37,4365,1300,97,448,674,126,141.0,0.98,3.99484270242393,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1456
160,614,5358,1327,229,37,97,522,702.0,123,834,736,4.67,28,4,20,4257,1540,155,567,630,141,174.0,0.978,4.103472882968601,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1860
162,738,5513,1472,235,30,147,581,799.0,114,647,584,3.65,67,10,33,4320,1417,158,499,808,127,162.0,0.979,4.214101904271745,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,355
161,859,5628,1553,321,28,234,558,1081.0,115,855,783,4.95,17,7,31,4272,1530,196,528,1156,125,139.0,0.979,4.789679276315789,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1877
159,693,5400,1433,257,78,73,383,578.0,156,636,509,3.15,77,20,11,4365,1407,40,512,667,213,112.0,0.968,4.037277147487845,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1608
155,598,5220,1354,195,91,27,312,548.0,163,526,394,2.57,123,15,1,4140,1180,29,311,684,275,90.0,0.958,3.7257806244995995,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1387
162,541,5415,1239,196,27,99,564,900.0,85,830,735,4.58,25,7,19,4335,1536,124,715,855,170,126.0,0.973,4.124935732647815,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1819
162,871,5628,1621,293,28,162,632,909.0,96,787,744,4.65,6,9,52,4320,1469,143,610,1139,91,146.0,0.985,5.0355094838994265,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1473
163,696,5598,1515,273,54,109,397,722.0,182,767,679,4.25,19,8,49,4311,1535,133,471,593,164,178.0,0.974,4.307728781412992,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1042
156,690,5297,1417,233,65,56,547,516.0,59,643,531,3.48,71,8,12,4122,1392,66,492,410,194,130.0,0.968,4.488745980707395,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1741
162,729,5643,1503,277,37,152,406,898.0,100,858,779,4.87,5,1,30,4320,1537,209,576,911,117,204.0,0.981,4.7754219843557015,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1058
162,813,5545,1569,310,39,124,623,728.0,65,689,629,3.97,26,14,37,4278,1415,143,493,1085,93,123.0,0.984,4.1380952380952385,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,369
162,667,5385,1346,263,26,187,563,1258.0,59,595,553,3.44,6,21,47,4337,1317,145,395,1396,75,133.0,0.988,4.250102923013586,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1180
151,518,4956,1180,144,65,26,306,855.0,233,664,477,3.25,115,13,1,3966,1331,15,451,558,273,78.0,0.955,3.6072821846553964,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1229
152,683,5370,1460,233,44,83,375,440.0,30,714,621,4.11,62,12,20,4077,1512,78,405,462,169,120.0,0.972,4.9303439268611235,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,101
162,634,5482,1380,228,38,93,548,869.0,107,723,604,3.78,27,11,25,4317,1409,116,559,756,175,153.0,0.972,4.124935732647815,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1964
162,804,5490,1413,295,13,149,633,1122.0,131,866,770,4.83,12,4,39,4302,1555,179,529,922,141,155.0,0.977,4.789679276315789,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1581
161,719,5494,1433,231,25,148,560,945.0,90,653,603,3.74,65,11,23,4353,1414,124,494,737,106,189.0,0.983,4.470518307180218,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,252
153,812,5412,1598,288,58,100,456,542.0,48,930,753,5.02,69,8,9,4050,1753,117,444,371,211,147.0,0.965,5.128664495114006,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1618
161,641,5491,1376,269,26,117,534,1095.0,81,825,742,4.66,2,8,28,4302,1496,190,588,1063,123,143.0,0.98,4.650947281713345,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2257
162,682,5484,1341,202,22,180,502,939.0,35,745,663,4.14,45,12,31,4323,1410,174,594,780,139,168.0,0.977,4.460518198642813,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,773
162,587,5410,1319,227,30,88,529,887.0,98,663,600,3.77,27,12,28,4299,1378,118,490,911,134,132.0,0.978,4.470518307180218,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1350
154,648,5204,1340,207,66,43,702,596.0,62,737,651,4.3,57,10,17,4089,1362,108,693,502,135,180.0,0.978,4.607258064516129,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,545
162,608,5480,1350,255,38,96,506,1025.0,139,668,603,3.72,5,12,45,4377,1386,114,539,978,112,125.0,0.982,4.1170465337132,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1006
162,823,5564,1478,264,35,194,567,1081.0,120,849,743,4.63,20,3,27,4332,1388,199,760,1103,148,148.0,0.976,4.722802850356294,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,2156
162,686,5504,1425,207,42,109,472,810.0,152,634,565,3.48,13,17,44,4380,1327,122,563,812,138,144.0,0.977,4.256769596199525,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1828
157,552,5135,1229,194,67,17,415,599.0,127,567,409,2.62,79,16,9,4212,1303,34,374,654,267,121.0,0.959,3.587810745789896,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,409
156,537,5242,1285,233,56,79,506,697.0,57,638,558,3.62,63,16,13,4164,1282,84,649,789,147,147.0,0.975,4.006843800322061,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,757
153,589,4916,1216,202,39,58,460,600.0,121,463,331,2.17,98,20,8,4122,1161,26,342,652,216,99.0,0.966,3.792771084337349,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1610
161,772,5592,1469,272,12,148,588,935.0,146,748,689,4.26,16,5,43,4368,1512,157,487,861,134,161.0,0.978,4.1380952380952385,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1467
154,681,5214,1350,191,41,126,548,554.0,48,760,689,4.57,53,9,15,4068,1452,142,535,556,132,173.0,0.978,4.607258064516129,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1749
157,747,5320,1541,242,120,35,454,333.0,51,651,535,3.42,88,14,8,4224,1449,40,324,424,183,160.0,0.972,4.636547811993517,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,630
161,677,5620,1492,216,46,83,531,752.0,172,643,570,3.48,37,13,20,4419,1399,97,616,794,147,192.0,0.977,4.124935732647815,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2072
156,537,5027,1127,145,41,3,463,855.0,209,470,349,2.22,107,23,10,4242,1170,11,284,623,233,82.0,0.966,3.385450160771704,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,508
154,693,5356,1503,246,78,66,332,397.0,69,835,743,4.91,71,6,11,4083,1624,117,475,424,178,167.0,0.971,5.5490275526742305,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,97
156,809,5466,1511,276,68,76,553,494.0,69,783,672,4.36,49,8,24,4164,1569,72,492,491,217,160.0,0.966,4.679611650485437,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1740
154,546,5169,1235,196,44,99,448,1054.0,45,691,613,4.01,45,6,16,4125,1423,133,439,736,155,129.0,0.974,4.313915857605178,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1652
156,685,5247,1346,206,40,133,565,815.0,69,567,500,3.22,54,19,32,4194,1329,112,421,824,132,148.0,0.979,3.6863905325443787,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,462
162,663,5566,1469,225,54,121,408,970.0,39,636,564,3.52,42,14,29,4329,1429,92,476,951,177,179.0,0.972,4.035670356703567,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1764
152,623,5146,1310,256,51,24,376,855.0,190,492,337,2.19,117,19,0,4149,1137,21,409,895,265,95.0,0.957,3.896523848019402,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1495
161,856,5624,1584,294,52,151,535,932.0,127,921,844,5.35,11,3,29,4261,1607,202,643,831,125,189.0,0.98,5.0846375617792425,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1056
163,861,5585,1516,291,38,198,551,916.0,127,931,837,5.24,8,4,42,4315,1569,211,580,911,140,161.0,0.977,4.789679276315789,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,591
163,853,5572,1553,297,14,181,717,994.0,150,711,691,4.27,5,7,49,4369,1372,167,617,1172,68,147.0,0.989,5.0846375617792425,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1369
161,641,5330,1300,263,20,142,537,1109.0,86,730,664,4.23,2,7,47,4238,1447,163,572,920,115,177.0,0.982,4.6183017312448476,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1799
157,701,5285,1376,233,66,55,691,575.0,100,570,481,3.05,52,14,28,4254,1280,58,671,647,174,154.0,0.972,4.006843800322061,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1114
163,514,5552,1399,179,31,80,414,782.0,83,549,478,2.92,44,16,29,4422,1326,87,362,871,125,139.0,0.98,3.4181538461538463,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,135
154,740,5349,1552,270,87,67,382,418.0,86,750,629,4.15,79,7,6,4092,1528,70,486,393,191,162.0,0.969,4.761169780666125,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2022
156,553,5156,1240,161,38,121,477,751.0,22,747,693,4.53,28,6,28,4128,1443,156,558,762,118,163.0,0.98,4.282591093117409,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1279
162,637,5568,1390,264,27,154,518,1259.0,36,764,714,4.41,3,6,30,4375,1466,165,561,1100,85,149.0,0.986,4.650947281713345,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1850
162,747,5482,1411,255,35,189,571,1170.0,60,920,837,5.27,11,6,32,4291,1619,221,529,980,139,135.0,0.977,5.0846375617792425,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,486
162,613,5364,1331,240,41,117,554,814.0,87,594,534,3.3,42,17,29,4365,1377,84,453,840,146,118.0,0.976,4.103472882968601,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1968
163,729,5508,1401,251,37,112,647,847.0,56,792,687,4.29,35,6,30,4326,1472,167,679,831,143,140.0,0.977,4.525174825174825,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,343
155,795,5418,1468,257,71,57,629,434.0,75,724,572,3.7,61,7,18,4176,1357,74,586,557,230,144.0,0.962,4.206225680933852,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1113
162,848,5648,1601,330,35,173,580,922.0,69,974,876,5.52,3,4,39,4287,1683,202,661,918,135,162.0,0.978,5.140181144503911,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2167
162,684,5489,1412,295,45,133,499,1043.0,148,622,569,3.5,10,16,60,4386,1301,121,523,971,127,115.0,0.98,4.307747148288973,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2197
162,687,5500,1384,261,49,154,473,840.0,128,639,567,3.49,27,11,41,4383,1433,103,463,846,127,160.0,0.98,4.330955777460771,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1044
162,865,5716,1528,311,29,260,495,1112.0,67,858,794,4.96,2,6,46,4320,1589,159,522,932,108,149.0,0.982,4.591731797614151,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,2172
154,890,5439,1654,358,59,72,490,461.0,51,915,737,4.88,68,5,14,4080,1663,85,528,441,235,156.0,0.962,5.5490275526742305,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,742
162,842,5586,1554,273,26,174,606,825.0,77,825,761,4.77,47,13,16,4308,1584,190,517,1034,110,158.0,0.982,4.722802850356294,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,368
154,758,5245,1504,220,75,95,497,532.0,62,618,525,3.39,100,7,14,4179,1402,73,423,458,155,122.0,0.975,4.870355411954765,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1403
162,754,5537,1474,229,48,119,648,752.0,146,561,498,3.07,67,14,26,4383,1297,124,475,715,119,184.0,0.981,4.214101904271745,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,248
153,496,5156,1267,208,37,34,349,354.0,30,643,514,3.42,74,13,8,4056,1470,47,257,310,177,139.0,0.971,4.467216673903604,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,637
153,666,5269,1453,261,60,63,477,420.0,44,721,624,4.15,53,10,15,4062,1537,70,423,464,168,153.0,0.972,4.823720552396425,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1739
163,612,5458,1319,203,43,130,415,854.0,41,611,551,3.41,46,12,32,4359,1399,138,392,894,119,149.0,0.981,3.4181538461538463,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,458
154,581,4985,1244,223,53,42,399,571.0,149,489,362,2.36,97,25,9,4146,1238,28,295,601,234,119.0,0.963,3.5641539695268647,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1611
156,715,5510,1573,327,44,71,514,510.0,30,1023,909,6.0,55,2,8,4089,1768,143,653,468,174,166.0,0.972,4.870863599677159,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,212
162,666,5522,1472,259,47,82,604,684.0,99,678,598,3.69,48,9,26,4377,1468,102,520,703,146,171.0,0.977,4.103472882968601,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1299
156,843,5576,1588,308,93,49,481,459.0,72,691,582,3.76,60,7,24,4182,1434,73,498,582,142,148.0,0.976,4.810679611650485,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1252
154,872,5481,1566,301,80,145,590,597.0,55,825,749,4.89,51,4,16,4137,1568,124,625,613,173,156.0,0.972,4.679611650485437,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,322
163,677,5611,1482,297,41,102,509,733.0,138,646,585,3.58,38,15,34,4413,1406,120,479,899,116,130.0,0.981,4.307728781412992,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,2234
162,896,5649,1535,274,32,225,653,913.0,106,735,650,4.02,33,10,31,4368,1430,180,563,976,122,147.0,0.98,4.722802850356294,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,927
152,639,5166,1375,257,64,41,513,422.0,42,922,732,4.97,68,6,6,3978,1615,67,510,310,265,150.0,0.956,5.128664495114006,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,308
162,667,5525,1385,266,24,136,555,1087.0,110,845,766,4.78,2,6,43,4326,1503,174,543,1086,96,157.0,0.984,4.324485596707819,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,820
162,679,5564,1466,278,24,149,474,841.0,100,799,731,4.55,21,9,30,4335,1467,129,661,894,112,170.0,0.982,4.1170465337132,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1873
162,748,5615,1516,325,49,116,556,1021.0,90,880,819,5.14,6,4,35,4298,1634,212,516,1042,102,155.0,0.983,5.140181144503911,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1318
157,708,5350,1420,265,57,78,564,639.0,59,645,570,3.64,69,9,13,4230,1431,93,399,528,176,157.0,0.972,4.823720552396425,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1107
162,765,5540,1486,274,25,159,481,987.0,129,697,644,3.99,7,10,66,4354,1455,160,457,1106,91,159.0,0.985,4.650947281713345,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,45
154,687,5387,1486,256,61,57,391,528.0,99,609,517,3.37,73,11,16,4146,1391,55,452,635,160,119.0,0.973,4.467216673903604,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2031
160,755,5529,1426,243,35,175,514,926.0,55,601,541,3.32,23,13,51,4398,1267,127,514,1070,115,142.0,0.981,3.9938080495356036,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,241
153,658,5044,1307,214,56,60,490,588.0,153,669,503,3.3,90,20,10,4119,1285,43,598,697,231,113.0,0.963,4.512530315278901,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1606
163,591,5540,1410,195,43,67,563,791.0,239,654,595,3.65,19,9,39,4398,1474,97,536,728,131,157.0,0.98,4.2881235154394295,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1825
154,1062,5448,1683,298,110,152,644,569.0,91,898,741,4.88,65,7,15,4101,1566,93,524,572,208,132.0,0.965,5.5490275526742305,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1411
162,764,5620,1556,281,57,132,475,665.0,101,708,649,4.02,35,10,43,4362,1513,133,491,689,113,162.0,0.982,4.307728781412992,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1195
162,650,5457,1324,260,36,148,426,1327.0,82,731,655,4.09,1,6,41,4321,1371,171,516,1393,92,138.0,0.985,4.250102923013586,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1857
162,752,5484,1467,263,21,177,467,922.0,160,704,658,4.09,6,11,43,4339,1471,136,490,1149,103,158.0,0.983,4.3843621399176955,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,603
155,780,5277,1352,210,49,164,599,648.0,51,704,600,3.93,54,15,21,4119,1425,122,556,527,156,134.0,0.974,4.5788197251414715,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1938
162,891,5509,1480,308,17,232,570,1151.0,88,670,609,3.8,7,10,34,4323,1353,173,397,1117,88,145.0,0.985,4.250102923013586,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2219
155,602,5104,1292,175,66,24,343,855.0,199,595,401,2.64,146,7,2,4104,1286,23,319,529,307,83.0,0.952,3.7257806244995995,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2004
162,724,5614,1535,272,40,134,447,862.0,161,696,621,3.81,19,7,39,4398,1434,118,521,933,145,133.0,0.977,4.297579496915045,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,1781
154,811,5349,1537,253,74,96,538,496.0,71,682,609,3.97,73,11,13,4143,1434,91,502,596,151,141.0,0.975,4.870863599677159,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,427
162,720,5649,1494,289,48,154,490,1312.0,132,713,659,4.04,1,12,44,4400,1450,182,500,1215,86,146.0,0.986,4.250102923013586,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,71
153,476,5030,1223,155,74,25,335,651.0,182,629,473,3.14,58,13,15,4065,1331,31,445,529,273,124.0,0.957,3.5641539695268647,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2016
162,899,5620,1546,282,38,178,765,1122.0,104,837,742,4.65,11,7,36,4308,1547,188,542,828,132,148.0,0.979,4.597620096959012,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,933
161,689,5605,1515,289,49,151,455,1259.0,83,803,746,4.64,7,12,35,4341,1491,193,489,1100,86,165.0,0.986,4.250102923013586,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,953
161,794,5498,1488,320,21,144,595,707.0,41,696,624,3.93,36,6,41,4287,1469,167,474,1033,129,146.0,0.979,4.409177365668093,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,367
162,613,5423,1362,253,34,95,448,663.0,75,862,759,4.82,44,7,11,4251,1537,165,594,613,158,187.0,0.975,4.457598856598381,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,2186
156,457,5024,1058,115,58,7,403,855.0,183,479,321,2.03,103,23,7,4263,1130,16,381,785,314,100.0,0.954,3.8350680544435547,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,510
155,666,5230,1323,239,25,99,559,670.0,39,670,564,3.72,74,8,9,4092,1431,60,449,548,180,139.0,0.97,4.488745980707395,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,431
154,737,5472,1497,235,43,132,493,672.0,58,666,593,3.78,46,11,29,4239,1385,140,506,778,131,168.0,0.979,4.306072874493927,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,2055
162,697,5631,1462,292,27,140,461,1322.0,98,596,532,3.21,0,13,54,4469,1392,110,453,1338,122,177.0,0.981,4.250102923013586,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1812
157,552,5080,1262,166,71,19,449,855.0,176,764,564,3.71,85,8,5,4107,1433,17,442,547,340,127.0,0.947,4.526785714285714,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,189
162,724,5575,1497,300,42,139,383,973.0,104,641,601,3.73,2,8,56,4356,1372,155,489,1160,88,138.0,0.985,4.250102923013586,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1072
155,591,5287,1367,227,39,91,440,598.0,68,729,617,4.08,61,6,15,4086,1385,95,556,550,210,126.0,0.964,4.5788197251414715,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1640
162,583,5394,1382,224,52,49,461,745.0,190,582,514,3.2,55,19,31,4341,1278,90,504,854,137,146.0,0.978,4.457598856598381,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,994
162,865,5534,1481,284,19,242,499,1030.0,78,831,782,4.91,8,8,34,4297,1505,224,527,1013,100,167.0,0.984,4.813838550247117,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,597
155,817,5286,1371,243,66,155,648,606.0,59,671,593,3.89,76,10,14,4119,1389,119,511,559,152,158.0,0.975,4.679611650485437,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1420
151,683,5318,1448,231,53,43,538,416.0,43,814,678,4.45,53,8,13,4113,1505,85,519,423,186,143.0,0.97,4.467216673903604,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,531
162,653,5470,1396,245,29,115,448,928.0,94,649,591,3.69,18,10,50,4323,1351,141,543,990,102,156.0,0.984,4.307747148288973,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,30
